,Producto,Comentarios,Precio,Tipo de envio,Descuento,Precio anterior
240,Kit de carga para xbox one / series x/s,(2),$549 MXN -15%,Normal,-15%,$649
241,Nintendo switch kirby and the forgotten land,(2),"$1,099 MXN -23%",Normal,-23%,"$1,439"
242,Control ps5 dualsense inalámbrico galactic purple,(8),"$1,189 MXN -30%",Normal,-30%,"$1,699"
243,Consola nintendo switch oled edición mario red 64 gb,,"$6,499 MXN -27%",Normal,-27%,"$8,999"
244,Valve steam deck 256gb negro,,"$11,599 MXN -31%",Express,-31%,"$16,999"
245,Control xbox series x inalámbrico blanco (compatible con xbox one),(49),"$1,199 MXN -20%",Normal,-20%,"$1,499"
246,Control inalámbrico xbox series x s one robot bluetooth neg,(3),"$1,089 MXN -35%",Normal,-35%,"$1,699"
247,Consola tablero aion doble mb all stars s2 juegos arcade 3d multijugador conexion  wifi hdmi usb,,"$2,359 MXN ",Normal,,"$2,618.49"
248,Consola nintendo switch oled neon,(7),"$6,999 MXN -25%",Normal,-25%,"$9,399"
249,Ps5 gta v,(4),$899 MXN -10%,Normal,-10%,$999
250,Headset xbox one wireless negro,(24),"$2,069 MXN -10%",Normal,-10%,"$2,299"
251,Nintendo switch oled mario 64gb mÁs audifonos,,"$7,249 MXN ",Normal,,"$7,999"
252,"Silla gamer con respaldo ergonómico y asiento reclibnable, cojin lumbar para computadora pc",,"$1,799 MXN -25%",Normal,-25%,"$2,399"
253,Consola nintendo switch lite blue,(7),"$3,999 MXN -26%",Normal,-26%,"$5,449"
254,Consola tv gamebox player aion negro 3000juegos 3d c/2 controles 2gb ddr3 64gb android 9.1 hdmi ,,"$1,479 MXN ",Normal,,"$1,641.69"
255,Consola nintendo switch oled blanca,(55),"$6,999 MXN -25%",Normal,-25%,"$9,399"
256,Consola ps5 digital bundle horizon,(11),"$11,969 MXN -10%",Normal,-10%,"$13,299"
257,Consola xbox series s de 1tb. color negro.,,"$7,599 MXN -13%",Normal,-13%,"$8,799"
258,Star Wars Jedi: Fellen Order Deluxe Edition- Xbox One,,"$1,609 MXN -15%",Normal,-15%,"$1,909"
259,Accesorio Gaming Celular Razer Kishi V2 IOS - Negro,,"$1,859 MXN -15%",Normal,-15%,"$2,199"
260,Kingdoms of Amalur Re-Reckoning - Xbox One,,"$1,309 MXN -18%",Normal,-18%,"$1,609"
